,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
24,Tandem,5,True,CLASSIC,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19052674989911927, 'mu1b': 1.8668300432506837, 'mu2': 2.4026710959632895, 'kappa': 3.988014697572599}",1315.5048,3,7045.625081660556134
25,Tandem,5,True,SYMBOLIC,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19052674989911927, 'mu1b': 1.8668300432506844, 'mu2': 2.4026710959632895, 'kappa': 3.988014697572599}",118.01133,3,7045.625081660556134
26,Tandem,5,True,SYMBOLIC_LOG_SEMIRING,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19052674989911902, 'mu1b': 1.8668300432506875, 'mu2': 2.402671095963289, 'kappa': 3.9880146975725945}",117.883085,3,7045.625081660556134
27,Tandem,5,False,CLASSIC,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19249503921586544, 'mu1b': 1.830409881132324, 'mu2': 2.172721607331159, 'kappa': 4.938531976229381}",768.077863,11,-689.485684024566126
28,Tandem,5,False,SYMBOLIC,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19249503921586547, 'mu1b': 1.8304098811323246, 'mu2': 2.1727216073311597, 'kappa': 4.938531976229382}",313.613275,11,-689.485684024566126
29,Tandem,5,False,SYMBOLIC_LOG_SEMIRING,"[1.5063347238290272, 1.2119689933640576, 1.8246246044172332, 2.861350176273955]","{'mu1a': 0.19249503921586558, 'mu1b': 1.830409881132325, 'mu2': 2.1727216073311593, 'kappa': 4.9385319762293864}",313.86957,11,-689.485684024566126
30,Tandem,6,True,CLASSIC,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.19391012967834806, 'mu1b': 1.748612635441043, 'mu2': 2.098471436458839, 'kappa': 3.9401682162478715}",1316.159854,3,7094.9117535079958543
31,Tandem,6,True,SYMBOLIC,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.19391012967834806, 'mu1b': 1.7486126354410425, 'mu2': 2.0984714364588393, 'kappa': 3.940168216247871}",118.365673,3,7094.911753507996764
32,Tandem,6,True,SYMBOLIC_LOG_SEMIRING,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.19391012967834834, 'mu1b': 1.7486126354410454, 'mu2': 2.0984714364588375, 'kappa': 3.9401682162478724}",118.390745,3,7094.911753507998583
33,Tandem,6,False,CLASSIC,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.32252056158349496, 'mu1b': 2.0104737447195835, 'mu2': 1.3195282813387967, 'kappa': 4.320860489120054}",2197.874887,27,-741.85834888371175566
34,Tandem,6,False,SYMBOLIC,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.32252056158349485, 'mu1b': 2.010473744719583, 'mu2': 1.319528281338797, 'kappa': 4.320860489120052}",870.038506,27,-741.85834888371186935
35,Tandem,6,False,SYMBOLIC_LOG_SEMIRING,"[3.9278597707325793, 1.44358428042451, 2.678444588731032, 3.9535200743600996]","{'mu1a': 0.3225205615834952, 'mu1b': 2.010473744719585, 'mu2': 1.3195282813387974, 'kappa': 4.320860489120052}",869.315607,27,-741.858348883711642
36,Tandem,7,True,CLASSIC,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.24994401325917961, 'mu1b': 2.1026831910213195, 'mu2': 1.5689255216458726, 'kappa': 3.8204988483033735}",1319.269826,3,7040.810611830630478
37,Tandem,7,True,SYMBOLIC,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.24994401325917961, 'mu1b': 2.1026831910213204, 'mu2': 1.5689255216458724, 'kappa': 3.820498848303373}",118.240383,3,7040.810611830630478
38,Tandem,7,True,SYMBOLIC_LOG_SEMIRING,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.24994401325917906, 'mu1b': 2.10268319102132, 'mu2': 1.5689255216458688, 'kappa': 3.8204988483033793}",117.800945,3,7040.810611830630478
39,Tandem,7,False,CLASSIC,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.24257484965195644, 'mu1b': 1.9188462697553, 'mu2': 1.1980138164942753, 'kappa': 4.545745111713352}",1632.361036,20,-728.88574221504381967
40,Tandem,7,False,SYMBOLIC,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.2425748496519565, 'mu1b': 1.9188462697553, 'mu2': 1.1980138164942757, 'kappa': 4.545745111713352}",647.035781,20,-728.88574221504381967
41,Tandem,7,False,SYMBOLIC_LOG_SEMIRING,"[0.3029397047466331, 3.08510505953868, 2.9597330699101403, 0.6324923677830537]","{'mu1a': 0.2425748496519565, 'mu1b': 1.9188462697552984, 'mu2': 1.1980138164942737, 'kappa': 4.545745111713351}",646.377182,20,-728.88574221504381967
42,Tandem,8,True,CLASSIC,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.23318847033556037, 'mu1b': 1.815324988486875, 'mu2': 2.2010680430491054, 'kappa': 3.7826425776195425}",477.832265,3,7123.592525840138478
43,Tandem,8,True,SYMBOLIC,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.23318847033556042, 'mu1b': 1.815324988486875, 'mu2': 2.2010680430491054, 'kappa': 3.7826425776195425}",46.377812,3,7123.592525840138478
