,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
27,Philosophers,5,False,CLASSIC,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.3612594918715039, 'betax': 0.0958920788746859, 'zetax': 0.17983805973188519}",3869.629879,14,-1902.2279492414718334
28,Philosophers,5,False,SYMBOLIC,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.36125949187150386, 'betax': 0.0958920788746859, 'zetax': 0.17983805973188519}",1191.336141,14,-1902.2279492414718334
29,Philosophers,5,False,SYMBOLIC_LOG_SEMIRING,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.36125949187150413, 'betax': 0.09589207887468602, 'zetax': 0.17983805973188524}",1191.865985,14,-1902.2279492414722881
30,Philosophers,6,True,CLASSIC,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.37260829782391647, 'betax': 0.11053983358430539, 'zetax': 0.20108406226269182}",3775.432996,3,-2992.655179266639152
31,Philosophers,6,True,SYMBOLIC,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.3726082978239166, 'betax': 0.11053983358430539, 'zetax': 0.20108406226269188}",269.791324,3,-2992.6551792666386973
32,Philosophers,6,True,SYMBOLIC_LOG_SEMIRING,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.37260829782391697, 'betax': 0.11053983358430561, 'zetax': 0.2010840622626922}",269.572157,3,-2992.6551792666396068
33,Philosophers,6,False,CLASSIC,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.44209354547984997, 'betax': 0.11635515872788228, 'zetax': 0.21367163267980754}",4185.009621,15,-1938.7875157802773174
34,Philosophers,6,False,SYMBOLIC,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.44209354547984986, 'betax': 0.11635515872788228, 'zetax': 0.21367163267980763}",1279.219141,15,-1938.7875157802775448
35,Philosophers,6,False,SYMBOLIC_LOG_SEMIRING,"[0.0007885516607311112, 0.001627436884863377, 0.0006107755187331304]","{'alpha': 0.44209354547985025, 'betax': 0.11635515872788249, 'zetax': 0.21367163267980777}",1277.000344,15,-1938.7875157802773174
36,Philosophers,7,True,CLASSIC,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.34664508861313564, 'betax': 0.09645356132417947, 'zetax': 0.18332281509353546}",3755.705564,3,-3080.0395373013179778
37,Philosophers,7,True,SYMBOLIC,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.3466450886131356, 'betax': 0.09645356132417948, 'zetax': 0.1833228150935355}",268.983464,3,-3080.039537301317523
38,Philosophers,7,True,SYMBOLIC_LOG_SEMIRING,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.34664508861313603, 'betax': 0.09645356132417948, 'zetax': 0.18332281509353537}",269.113089,3,-3080.0395373013179778
39,Philosophers,7,False,CLASSIC,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.42028201128851295, 'betax': 0.10825155243003864, 'zetax': 0.19836182099722657}",3966.146483,15,-1973.5708377208995898
40,Philosophers,7,False,SYMBOLIC,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.42028201128851284, 'betax': 0.10825155243003863, 'zetax': 0.19836182099722652}",1274.808727,15,-1973.5708377208995898
41,Philosophers,7,False,SYMBOLIC_LOG_SEMIRING,"[0.0008887013972479435, 0.0005538137786182505, 0.001349340324202129]","{'alpha': 0.4202820112885128, 'betax': 0.10825155243003873, 'zetax': 0.1983618209972267}",1276.855052,15,-1973.5708377209000446
42,Philosophers,8,True,CLASSIC,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.3565411616681685, 'betax': 0.10420228383396025, 'zetax': 0.21027536520280554}",3766.540489,3,-3062.5636954940605392
43,Philosophers,8,True,SYMBOLIC,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.3565411616681684, 'betax': 0.10420228383396023, 'zetax': 0.21027536520280557}",269.728412,3,-3062.5636954940605392
44,Philosophers,8,True,SYMBOLIC_LOG_SEMIRING,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.35654116166816846, 'betax': 0.10420228383396023, 'zetax': 0.21027536520280557}",268.793597,3,-3062.563695494060994
45,Philosophers,8,False,CLASSIC,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.37945193851344994, 'betax': 0.10781956553991665, 'zetax': 0.19811016620707234}",4043.156809,14,-1955.9294050692983546
46,Philosophers,8,False,SYMBOLIC,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.37945193851344966, 'betax': 0.10781956553991663, 'zetax': 0.19811016620707234}",1191.681873,14,-1955.9294050692983546
47,Philosophers,8,False,SYMBOLIC_LOG_SEMIRING,"[0.001167483437924371, 0.00088713020630651, 0.0005312363441189274]","{'alpha': 0.3794519385134499, 'betax': 0.10781956553991667, 'zetax': 0.19811016620707256}",1192.503164,14,-1955.9294050692988094
48,Philosophers,9,True,CLASSIC,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.37872490119642627, 'betax': 0.09975327875637695, 'zetax': 0.1880277205357059}",3768.780148,3,-3080.5088508064523012
49,Philosophers,9,True,SYMBOLIC,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.37872490119642627, 'betax': 0.09975327875637695, 'zetax': 0.18802772053570582}",269.418144,3,-3080.5088508064523012
50,Philosophers,9,True,SYMBOLIC_LOG_SEMIRING,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.3787249011964261, 'betax': 0.09975327875637696, 'zetax': 0.18802772053570566}",269.12497,3,-3080.508850806452756
51,Philosophers,9,False,CLASSIC,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.41926751602041845, 'betax': 0.10401137450367064, 'zetax': 0.2215939504009932}",3924.268327,14,-1942.596209501512476
52,Philosophers,9,False,SYMBOLIC,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.4192675160204184, 'betax': 0.10401137450367062, 'zetax': 0.2215939504009932}",1191.70803,14,-1942.5962095015127034
53,Philosophers,9,False,SYMBOLIC_LOG_SEMIRING,"[0.0003222445961940533, 0.0013961019741834415, 0.0011528848695718731]","{'alpha': 0.4192675160204187, 'betax': 0.10401137450367083, 'zetax': 0.22159395040099344}",1191.266913,14,-1942.596209501512476
54,Philosophers,10,True,CLASSIC,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.3722175687236308, 'betax': 0.0978838436928629, 'zetax': 0.18691542114684595}",3761.732832,3,-3034.6419799441182477
55,Philosophers,10,True,SYMBOLIC,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.3722175687236308, 'betax': 0.09788384369286292, 'zetax': 0.18691542114684595}",269.437248,3,-3034.6419799441187024
56,Philosophers,10,True,SYMBOLIC_LOG_SEMIRING,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.3722175687236306, 'betax': 0.09788384369286286, 'zetax': 0.18691542114684612}",268.613043,3,-3034.6419799441187024
57,Philosophers,10,False,CLASSIC,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.4626558823045835, 'betax': 0.11253227928891531, 'zetax': 0.23653931247784396}",3932.164954,14,-1917.5423465207884419
58,Philosophers,10,False,SYMBOLIC,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.46265588230458365, 'betax': 0.11253227928891527, 'zetax': 0.23653931247784393}",1190.614574,14,-1917.5423465207884419
59,Philosophers,10,False,SYMBOLIC_LOG_SEMIRING,"[0.001208892382006882, 0.0019715262388241388, 0.0016365437144024747]","{'alpha': 0.4626558823045844, 'betax': 0.11253227928891561, 'zetax': 0.23653931247784432}",1191.610146,14,-1917.5423465207888967
